UFID,GRND_FLR,HEIGHT,CONT,ABSOLUTE_HEIGHT,latitude,longitude
1991192499914470937600000000,9.0,27,16.248811989784073,43.24881198978407,37.5260520689794,126.91594137321464
1976192610064476683100000000,7.0,21,17.590586661973223,38.59058666197322,37.53122955354055,126.9171815412015
1985192851844475314200000000,10.0,34,13.803540473113866,47.80354047311387,37.529998171245005,126.91991832070474
1984192914544473766300000000,10.0,30,13.319168334139155,43.31916833413916,37.52860395495201,126.92062918715787
1989192932734475638800000000,10.0,36,14.363732797547511,50.36373279754751,37.53029124116918,126.92083313813055
1990192837604473685000000000,12.0,36,13.808721053612894,49.80872105361289,37.52853012798804,126.91975883871423
1985193618914465821900000000,12.0,54,13.352103990440263,67.35210399044027,37.52145135916315,126.92860479514289
1984192659084471246500000000,10.0,30,14.500538610117962,44.500538610117964,37.526331662129884,126.91774165571488
1986192977034475900800000000,10.0,37,14.637675663834608,51.63767566383461,37.53052763715014,126.92133412108079
1977192569494470848600000000,4.0,12,15.349128464233232,27.34912846423323,37.525972401076984,126.91672860249024
1976192350694474658600000000,5.0,20,17.15984286498443,37.15984286498443,37.529403399623746,126.91424932601457
1991194503934465429500000000,1.0,3,14.59696786063604,17.596967860636042,37.521103515582915,126.93861654494282
2005192961034476368100000000,12.0,39,14.266631730053259,53.26663173005326,37.53094854128765,126.92115262277935
1991192805844472907300000000,11.0,33,13.511293848374107,46.51129384837411,37.52782918598103,126.91940025303563
1992192669244471847700000000,10.0,40,14.189384925814196,54.189384925814196,37.52687344355323,126.9178559710465
1992192695424474352000000000,11.0,40,13.712158998569386,53.712158998569386,37.52912997796289,126.91814962227028
2003194564394462436700000000,40.0,145,15.0,160.0,37.51840736159977,126.93930272213764
1996193528044463126000000000,25.0,75,14.836871657059461,89.83687165705946,37.51902167732778,126.9275793290147
1984193340684468091700000000,20.0,60,13.422395454914929,73.42239545491493,37.52349442406878,126.92545540825319
1987193699604467238800000000,16.0,48,13.548216715455474,61.548216715455474,37.52272847958906,126.92951631533629
1986193391174467793200000000,14.0,42,13.414530932383512,55.414530932383514,37.52322581513725,126.92602677335994
1985192934524474446500000000,12.0,41,13.909302563403363,54.909302563403365,37.5292169917767,126.92085452106527
1979193512704465732100000000,14.0,60,13.6030684673305,73.6030684673305,37.52136961554284,126.92740342927087
